id,城市,观测时间,最高温度,最低温度,白天天气状况,晚间天气状况,白天风力,夜间风力,降水量,紫外线,湿度,能见度,云量
1,北京,2024-02-24,5.0,-4.0,多云,晴,1-3,1-3,0.0,2.0,45.0,25.0,5.0
2,北京,2024-02-25,8.0,-5.0,晴,多云,1-3,1-3,0.0,4.0,56.0,25.0,19.0
3,北京,2024-02-26,5.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,59.0,24.0,20.0
4,北京,2024-02-27,6.0,-4.0,多云,多云,1-3,1-3,0.0,4.0,53.0,24.0,20.0
5,北京,2024-02-28,7.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,37.0,25.0,25.0
6,北京,2024-02-29,6.0,-4.0,多云,晴,1-3,1-3,0.0,4.0,19.0,25.0,18.0
7,北京,2024-03-01,4.0,-5.0,晴,晴,1-3,1-3,0.0,4.0,38.0,25.0,23.0
8,海淀,2024-02-24,6.0,-4.0,多云,晴,1-3,1-3,0.0,2.0,45.0,25.0,5.0
9,海淀,2024-02-25,9.0,-3.0,晴,多云,1-3,1-3,0.0,4.0,52.0,25.0,19.0
10,海淀,2024-02-26,5.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,58.0,24.0,20.0
11,海淀,2024-02-27,6.0,-4.0,多云,多云,1-3,1-3,0.0,4.0,50.0,24.0,20.0
12,海淀,2024-02-28,8.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,35.0,25.0,25.0
13,海淀,2024-02-29,6.0,-2.0,多云,晴,1-3,1-3,0.0,4.0,19.0,25.0,18.0
14,海淀,2024-03-01,5.0,-6.0,晴,晴,1-3,1-3,0.0,4.0,34.0,25.0,23.0
15,朝阳,2024-02-24,6.0,-4.0,多云,晴,1-3,1-3,0.0,2.0,44.0,25.0,5.0
16,朝阳,2024-02-25,8.0,-3.0,晴,多云,1-3,1-3,0.0,4.0,58.0,25.0,19.0
17,朝阳,2024-02-26,5.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,58.0,24.0,20.0
18,朝阳,2024-02-27,6.0,-3.0,多云,多云,1-3,1-3,0.0,4.0,55.0,24.0,20.0
19,房山,2024-02-28,7.0,-4.0,多云,多云,1-3,1-3,0.0,1.0,37.0,25.0,25.0
20,朝阳,2024-02-28,7.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,37.0,25.0,25.0
21,朝阳,2024-02-29,6.0,-1.0,多云,晴,1-3,1-3,0.0,4.0,20.0,25.0,18.0
22,朝阳,2024-03-01,5.0,-3.0,晴,晴,1-3,1-3,0.0,4.0,39.0,25.0,23.0
23,顺义,2024-02-24,6.0,-4.0,多云,晴,1-3,1-3,0.0,3.0,43.0,25.0,5.0
24,顺义,2024-02-25,8.0,-5.0,晴,多云,1-3,1-3,0.0,4.0,60.0,25.0,19.0
25,顺义,2024-02-26,5.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,63.0,24.0,20.0
26,房山,2024-02-29,7.0,-5.0,多云,晴,1-3,1-3,0.0,4.0,20.0,25.0,18.0
27,顺义,2024-02-27,5.0,-4.0,多云,多云,1-3,1-3,0.0,4.0,66.0,24.0,20.0
28,汉沽,2024-03-01,3.0,-3.0,多云,多云,1-3,3-4,0.0,4.0,42.0,25.0,25.0
29,房山,2024-03-01,5.0,-6.0,晴,晴,1-3,1-3,0.0,4.0,39.0,25.0,24.0
30,顺义,2024-02-28,7.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,41.0,25.0,25.0
31,密云,2024-02-24,6.0,-6.0,多云,晴,1-3,1-3,0.0,1.0,44.0,25.0,9.0
32,顺义,2024-02-29,4.0,-5.0,多云,晴,1-3,1-3,0.0,4.0,23.0,25.0,18.0
33,顺义,2024-03-01,4.0,-5.0,晴,晴,1-3,1-3,0.0,4.0,40.0,25.0,23.0
34,怀柔,2024-02-24,6.0,-7.0,多云,晴,1-3,1-3,0.0,2.0,43.0,25.0,10.0
35,密云,2024-02-25,9.0,-7.0,晴,多云,1-3,1-3,0.0,4.0,55.0,25.0,17.0
36,怀柔,2024-02-25,9.0,-7.0,晴,多云,1-3,1-3,0.0,4.0,61.0,25.0,19.0
37,静海,2024-02-24,5.0,-4.0,多云,晴,1-3,1-3,0.0,2.0,81.0,24.0,10.0
38,密云,2024-02-26,5.0,-8.0,多云,多云,1-3,1-3,0.0,2.0,72.0,18.0,20.0
39,静海,2024-02-25,6.0,-3.0,晴,晴,1-3,1-3,0.0,4.0,60.0,25.0,6.0
40,垫江,2024-02-24,5.0,2.0,阴,阴,1-3,1-3,0.0,1.0,82.0,25.0,25.0
41,静海,2024-02-26,4.0,-3.0,多云,多云,1-3,1-3,0.0,2.0,63.0,25.0,11.0
42,怀柔,2024-02-26,5.0,-6.0,多云,多云,1-3,1-3,0.0,2.0,71.0,18.0,20.0
43,怀柔,2024-02-27,5.0,-6.0,多云,多云,1-3,1-3,0.0,4.0,70.0,24.0,25.0
44,静海,2024-02-27,7.0,-2.0,多云,阴,1-3,1-3,0.0,4.0,64.0,25.0,10.0
45,怀柔,2024-02-28,6.0,-6.0,多云,多云,1-3,1-3,0.0,1.0,48.0,25.0,21.0
46,怀柔,2024-02-29,6.0,-7.0,多云,晴,1-3,1-3,0.0,4.0,27.0,25.0,18.0
47,密云,2024-02-27,5.0,-7.0,多云,多云,1-3,1-3,0.0,3.0,78.0,24.0,20.0
48,怀柔,2024-03-01,5.0,-7.0,晴,晴,1-3,1-3,0.0,4.0,41.0,25.0,22.0
49,垫江,2024-02-25,8.0,3.0,多云,多云,1-3,1-3,0.0,1.0,84.0,24.0,25.0
50,静海,2024-02-28,7.0,-2.0,阴,多云,1-3,1-3,0.0,3.0,69.0,25.0,25.0
51,静海,2024-02-29,3.0,-6.0,多云,晴,1-3,1-3,0.0,1.0,25.0,25.0,17.0
52,密云,2024-02-28,7.0,-7.0,多云,多云,1-3,1-3,0.0,1.0,52.0,25.0,10.0
53,通州,2024-02-24,6.0,-5.0,多云,晴,1-3,1-3,0.0,1.0,46.0,25.0,5.0
54,密云,2024-02-29,5.0,-7.0,多云,晴,1-3,1-3,0.0,4.0,30.0,25.0,17.0
55,密云,2024-03-01,4.0,-9.0,晴,晴,1-3,1-3,0.0,4.0,43.0,25.0,25.0
56,通州,2024-02-25,8.0,-8.0,晴,多云,1-3,1-3,0.0,4.0,62.0,25.0,19.0
57,通州,2024-02-26,5.0,-6.0,多云,多云,1-3,1-3,0.0,2.0,62.0,24.0,20.0
58,通州,2024-02-27,6.0,-5.0,多云,多云,1-3,1-3,0.0,4.0,63.0,24.0,20.0
59,通州,2024-02-28,7.0,-4.0,多云,多云,1-3,1-3,0.0,1.0,42.0,25.0,25.0
60,静海,2024-03-01,4.0,-4.0,多云,多云,1-3,3-4,0.0,4.0,46.0,25.0,25.0
61,津南,2024-02-24,5.0,-6.0,多云,晴,1-3,1-3,0.0,2.0,77.0,24.0,9.0
62,垫江,2024-02-26,10.0,3.0,多云,阴,1-3,1-3,0.0,1.0,81.0,24.0,25.0
