id,城市,时间,温度,体感温度,天气情况,风力等级,湿度,能见度
1,北京,2024-02-27T16:48+08:00,5.0,2.0,阴,2,37.0,11.0
2,海淀,2024-02-27T16:48+08:00,4.0,1.0,阴,1,46.0,10.0
3,朝阳,2024-02-27T16:48+08:00,5.0,2.0,阴,2,38.0,12.0
4,顺义,2024-02-27T16:48+08:00,5.0,2.0,阴,2,39.0,10.0
5,怀柔,2024-02-27T16:48+08:00,4.0,1.0,阴,1,40.0,13.0
6,通州,2024-02-27T16:48+08:00,5.0,2.0,阴,2,30.0,13.0
7,昌平,2024-02-27T16:48+08:00,4.0,2.0,阴,1,42.0,15.0
8,延庆,2024-02-27T16:48+08:00,2.0,-2.0,阴,2,48.0,9.0
9,丰台,2024-02-27T16:48+08:00,4.0,1.0,阴,1,44.0,9.0
10,石景山,2024-02-27T16:48+08:00,4.0,1.0,阴,1,45.0,9.0
11,大兴,2024-02-27T16:48+08:00,5.0,2.0,阴,1,38.0,12.0
12,房山,2024-02-27T16:48+08:00,4.0,1.0,阴,2,45.0,8.0
13,密云,2024-02-27T16:48+08:00,4.0,0.0,阴,1,37.0,12.0
14,门头沟,2024-02-27T16:48+08:00,4.0,2.0,阴,1,45.0,9.0
15,平谷,2024-02-27T16:48+08:00,4.0,1.0,阴,1,33.0,19.0
16,上海,2024-02-27T16:48+08:00,9.0,7.0,阴,0,49.0,11.0
17,闵行,2024-02-27T16:48+08:00,9.0,7.0,阴,2,44.0,13.0
18,宝山,2024-02-27T16:48+08:00,8.0,5.0,阴,2,58.0,13.0
19,嘉定,2024-02-27T16:48+08:00,8.0,6.0,阴,2,50.0,18.0
20,南汇,2024-02-27T16:48+08:00,8.0,5.0,阴,2,50.0,14.0
21,金山,2024-02-27T16:48+08:00,9.0,7.0,阴,1,50.0,14.0
22,青浦,2024-02-27T16:47+08:00,8.0,5.0,阴,1,48.0,13.0
23,松江,2024-02-27T16:48+08:00,9.0,6.0,阴,1,48.0,14.0
24,奉贤,2024-02-27T16:48+08:00,8.0,5.0,阴,2,62.0,12.0
